Type of course,Higher Education/Professional Development,Course Title,Course link,Course Provider,Country,"Primary location (City, Online, Blended)",Language,Length of course,Qualification or accreditation,"Study mode (FT, PT, Flexible)","Department(s), Faculty",Core modules/units/course content,Additional modules/units,"Techniques, tools, programming languages",Placement,Total cost EU (starting 2016),Cost non-EU (starting 2016),Subsidised Learning,Target audience,"Listed, searchable?","search term, tag",Entry requirements?,Frequency of course,Start date/time,Year established,Industry partners
Short Course,Professional Development,"Extracting Business Value from Big Data with Pig, Hive & Impala",https://www.learningtree.co.uk/courses/1254/extracting-business-value-from-big-data-with-pig-hive-impala/,Learning Tree International,"Multiple: Europe, Worldwide",Multiple: Europe,English,4 days,This course qualifies as a Core Course in our Job-Specific Professional Certification Program. (Certified Specialist and Certified Expert tracks),FT,Instructor Led or Video live streaming of course,"The Hadoop Ecosystem Exploring HDFS and MapReduce: Storing data in HDFS, Parallel processing with MapReduce, Automating data transfer Executing Data Flows with Pig: Describing characteristics of Apache Pig, Structuring unstructured data Performing ETL with Pig: Transforming data with Relational Operators, Filtering data with Pig Manipulating Data with Hive: Leveraging business advantages of Hive, Organising data in Hive Data Warehouse, Designing data layout for maximum performance Extracting Business Value with HiveQL: Performing joins on unstructured data, Pushing HiveQL to the limit, Deploying Hive in production, Streamlining storage management with HCatalog Interacting with Hadoop Data in Real Time: Parallel processing with Impala, Unleashing the Spark framework",Data not available,"Hadoop, HDFS, Pig, Hive, Impala, Spark, Flume and Sqoop.",Data not available,"GBP 2,095.00","GBP 2,095.00",Data not available,This course is intended for technical and database professionals who are looking to utilise Big Data technologies in their organisation. Attendees do not need to be Java programmers but a foundational knowledge of databases and SQL would be highly beneficial.,Data not available,Data not available,"A fundamental knowledge of databases and SQL is highly beneficial, however, this course does not assume a Java programming background.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Tableau: Presenting Analytic Visualisations,https://www.learningtree.co.uk/courses/1256/tableau-presenting-analytic-visualisations/,Learning Tree International,"Multiple: Europe, Worldwide",Multiple: Europe,English,3 days,This course qualifies as a Core Course in our Job-Specific Professional Certification Program. (Certified Specialist and Certified Expert tracks),FT,Instructor Led or Video live streaming of course,"Getting Started with Tableau: Employing visual analysis and analytics, Exploring Tableau Data Visualisations for Business Intelligence: Accessing a single data source, Working with marks and views, Graphing data Loading Data into Tableau: Modifying the Tableau data schema, Importing from multiple data sources, Connecting to an enterprise database, Combining data with joins and blends Building Advanced Visualisations: Leveraging visualisation techniques, Applying parameters, Charting with advanced features Leveraging Table Calculations: Calculated fields, Table calculations Representing Locations with Tableau Maps: Mapping geographic data, Surveying map types Presenting Insights: Authoring dashboards, Narrating a story Disseminating Visualisations",Data not available,"Tableau Desktop, Tableau Public, Tableau Reader, and Tableau Mobile App. You will deploy workbooks to Tableau Server.",Data not available,"GBP 1,695.00","GBP 1,695.00",Data not available,"Beginners. This course is right for to anyone who works with data and has an interest in acquiring the skills to build and publish interactive dashboards with Tableau. Those looking to develop insights and knowledge from data, utilise dashboards to communicate with end-users, obtain quick answers to questions, and generate reports and reviews that use stories to explain solutions using Tableau can benefit from this course.",Data not available,Data not available,"No prior knowledge of databases, big data frameworks or programming is required.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Building Apache Cassandra Databases,https://www.learningtree.co.uk/courses/1260/building-apache-cassandra-databases/,Learning Tree International,"Multiple: Europe, Worldwide",Multiple: Europe,English,3 days,This course qualifies as a Core Course in our Job-Specific Professional Certification Program. (Certified Specialist and Certified Expert tracks),FT,Instructor Led or Video live streaming of course,"Introduction to Apache Cassandra: NoSQL Overview, Exploring Cassandra, Querying Cassandra Representing Data in the Cassandra Data Model: Leveraging Cassandra structures and types, Modelling data based on queries Configuring Data Consistency: Detailing tunable consistency, Balancing consistency and performance Leveraging Cassandra Idioms and Programming Patterns: Working with Cassandra collection types, Storing data for easy retrieval, Controlling data life span, Constructing materialised views and time series, Managing triggers Accessing Cassandra Programmatically: Querying Cassandra data with the Datastax Java Driver, Persisting Java Objects with Kundera Integrating Cassandra with Analytical Frameworks: Leveraging built-in Cassandra connectors",Data not available,"Cassandra, Java",Data not available,"GBP 1,695.00","GBP 1,695.00",Data not available,"Intermediate. This course is beneficial for technical and database professionals, data scientists, and analysts and business professionals who are looking to integrate Cassandra into their existing environment.",Data not available,Data not available,"A fundamental knowledge of databases and SQL, as well as the Java programming language would be highly beneficial. This course assumes a technical background in databases. Attendees do not need to be current day-to-day technical practitioners, but should have, at some stage, been competent in roles such as business analyst, database administrator or developer.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Building Enterprise Solutions with MongoDB,https://www.learningtree.co.uk/courses/1261/building-enterprise-solutions-with-mongodb/,Learning Tree International,"Multiple: Europe, Worldwide",Multiple: Europe,English,4 days,This course qualifies as a Core Course in our Job-Specific Professional Certification Program. (Certified Specialist and Certified Expert tracks),FT,Instructor Led or Video live streaming of course,"Setting the Stage: Recognising the need for NoSQL data stores, Focusing on MongoDB, Interacting with MongoDB Installing MongoDB: Surveying Cluster Topology, Dissecting MongoDB Storage Strategies, Storing Large Files with GridFS Exploring the MongoDB Data and Query Model: Organising Data Querying Documents, Modelling Relationships Configuring Replication and Data Consistency: Configuring Read and Write Consistency, Customising Write Concern and Read Preference Tuning Performance with Indexes: Improving access speed with indexes, Considering the cost and benefit of indexing, Taking advantage of indexes, Managing collections with special indexes Utilising the Aggregation Framework: Leveraging the different modes of the Aggregation Framework",Data not available,"MongoDB, Java and Python clients.",Data not available,"GBP 2,095.00","GBP 2,095.00",Data not available,"This course is beneficial for developers, architects and technical managers who wish to develop low-cost, data-driven applications using MongoDB as the backend database.",Data not available,Data not available,"While there are no set prerequisites for this course, attendees may find a background in programming and a familiarity with web services and database technologies is beneficial. Programming experience in either Python or Java is useful.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Apache Spark Programming with Scala for Big Data Solutions,https://www.learningtree.co.uk/courses/1262/apache-spark-programming-with-scala-for-big-data-solutions/,Learning Tree International,"Multiple: Europe, Worldwide",Multiple: Europe,English,4 days,This course qualifies as a Core Course in our Job-Specific Professional Certification Program. (Certified Specialist and Certified Expert tracks),FT,Instructor Led or Video live streaming of course,"Introduction to Spark The Challenge of Parallelising Applications: Scaling-out applications, Designing parallel algorithms Defining the Spark Architecture: Parallelising data structures, The anatomy of a Spark cluster, Managing the cluster Developing Spark Applications: Selecting the development environment, Working with the Spark APIs Manipulating Structured Data with Spark SQL: Querying structured data, Integrating with external systems Processing Streaming Data in Spark: What is streaming?, Streaming data sources Performing Machine Learning with Spark: Classifying observations, Identifying patterns Creating Real-World Applications: Building Spark-based business applications, Spark as a service The Future of Spark",Data not available,"Apache Spark, YARN, Distributed File System (HDFS) and HBase.",Data not available,"GBP 2,095.00","GBP 2,095.00",Data not available,"This course is primarily for developers, architects and technical managers looking to deploy Spark-based solutions in their organisation.",Data not available,Data not available,"Professional experience in programming at least to the level of Course 471, Java Programming Introduction or Course 419, C# Programming (Learning Tree International) or equivalent is required. You should have three to six months' experience in a object-oriented programming language before attending.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,"1-Day Course Big Data Insights, Technologies & Trends",https://www.learningtree.co.uk/courses/4500/big-data-insights-technologies-trends/#!tab0,Learning Tree International,"Multiple: Europe, Worldwide",Multiple: Europe,English,1 day,Certificate of Achievement for completing your course,FT,Instructor Led or Video live streaming of course,"Select appropriate Big Data platforms for different business scenarios Build and run Big Data queries, data analytics and visualisations Assess and mitigate security risks Integrate Big Data with traditional relational databases",Data not available,"Hadoop, MapReduce, NoSQL",Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,"Beginners. Anyone seeking to exploit the benefits of Big Data, including managers, developers, analysts and systems administrators.",Data not available,Data not available,Experience with databases is useful but not required.,Aproximately 4 times per year.,Check with provider for lates scheduled courses.,Data not available,No evidence of industry partners
Short Course,Professional Development,1-Day Course Programming to NoSQL Data Stores,https://www.learningtree.co.uk/courses/4501/programming-to-nosql-data-stores/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,1 day,Certificate of Achievement for completing your course,FT,Video live streaming of course,"Select appropriate NoSQL data stores for your disparate data sets Increase application scalability, performance and structure with Redis Store and query schema-less document oriented data with MongoDB Scale high write loads of unstructured data in Cassandra Persist and search highly connected as graphs in Neo4j",Data not available,"NoSQL, Redis, MongoDB, Cassandra and Neo4J.",Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,Intermediate. Anyone seeking to gain an understanding of the benefits of NoSQL datastores to store and access data that would be difficult or inappropriate in a relational database.,Data not available,Data not available,This course assumes knowledge of Java programming.,Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,1-Day Course Planning and Setting Up Your First Hadoop Cluster,https://www.learningtree.co.uk/courses/4502/planning-and-setting-up-your-first-hadoop-cluster/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,1 day,Certificate of Achievement for completing your course,FT,Video live streaming of course,Architect a Hadoop solution to satisfy business requirements and needs Plan the hardware and software needed for your solution Build a Hadoop cluster capable of processing very large datasets Manipulate the Hadoop Distributed File System for the Command Line Execute MapReduce programs on your cluster,Data not available,"Hadoop, HDFS, MapReduce",Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,"Beginner/Intermediate. Hadoop administrators, Linux systems administrators, database administrators, network administrators and developers who need to know how to install and manage their Hadoop development clusters.",Data not available,Data not available,Programming experience is beneficial but not required.,Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,1-Day Course Advanced Hadoop Configuration for High-Availability Clusters,https://www.learningtree.co.uk/courses/4503/advanced-hadoop-configuration-for-high-availability-clusters/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,1 day,Certificate of Achievement for completing your course,FT,Video live streaming of course,"Allocate, distribute and manage resources Tune the Hadoop environment to ensure high throughput and availability Configure Zookeeper for automatic failover Monitor the Hadoop file system, job progress and overall cluster performance",Data not available,"Hadoop, HDFS, MapReduce",Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,"Hadoop administrators, Linux systems administrators, database administrators, network administrators and developers who know how to install and manage a basic Hadoop clusters and need to master more advanced concepts like High Availability and NameNode Federation.",Data not available,Data not available,Programming experience is beneficial but not required.,Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,1-Day Course Hadoop Programming Essentials,https://www.learningtree.co.uk/courses/4504/hadoop-programming-essentials/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,1 day,Certificate of Achievement for completing your course,FT,Video live streaming of course,"Implement Hadoop jobs to extract business value from large and varied data sets Develop efficient parallel algorithms Write and deploy MapReduce jobs to summarise data Load and retrieve data in the Hadoop Distributed File System, HDFS",Data not available,"Hadoop, HDFS, MapReduce",Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,"Advanced. This course is for Java developers, architects and testers who desire hands-on experience writing code for Hadoop. It can be helpful to technical managers interested in the development process.",Data not available,Data not available,This is a fast-paced course that assumes strong Java skills and will help attendees establish a beachhead in the world of Hadoop programming that they can leverage for further advancement.,Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,1-Day Course Customising Hadoop MapReduce,https://www.learningtree.co.uk/courses/4505/customising-hadoop-mapreduce/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,1 day,Certificate of Achievement for completing your course,FT,Video live streaming of course,Customise Hadoop MapReduce framework to fit business requirements Write MapReduce Partitioners to make MapReduce more efficient Develop InputFormats/OutputFormats for consumption/ generation of data Load and retrieve data programmatically from HBase,Data not available,"Hadoop, HBase, MapReduce",Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,Advanced. Anyone seeking to gain an understanding of the techniques used to write the various pieces that comprise a MapReduce programs.,Data not available,Data not available,This is a rapid course that assumes strong Java skills and familiarity with Apache Hadoop.,Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,1-Day Course Introduction to Python for Data Analytics,https://www.learningtree.co.uk/courses/4509/introduction-to-python-for-data-analytics/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,1 day,Certificate of Achievement for completing your course,FT,Video live streaming of course,"Use Python for statistical data analysis Generate summary statistics with pandas Clean, transform and reshape data Glean insights from the data through visualisation",Data not available,Python,Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,Intermediate. This course is beneficial for anyone interested in learning the fundamentals of analysing data with Python or those beginning to explore the landscape of data mining and data science.,Data not available,Data not available,"A background in Python programming is helpful, but not required. Familiarity with basic statistics is also useful.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,1-Day Course Spark SQL,https://www.learningtree.co.uk/courses/5041/spark-sql/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,1 day,Certificate of Achievement for completing your course,FT,Video live streaming of course,Install and configure Apache Spark Use Spark SQL to load and query data from a variety of sources Run unmodified Hive queries on existing warehouses Integrate BI tools and other systems via JDBC/ODBC,Data not available,"Spark, SQL",Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,"Intermediate. This course is intended for existing database developers that need to run real-time queries on extremely large datasets. The course also appeals to anyone interested in furthering their knowledge of a new and exciting Big Data processing technology, especially Hadoop Map Reduce developers looking for a solution that provides a richer set of functional operations and that has significantly increased performance.",Data not available,Data not available,"Participants are expected to be familiar with the concepts of Big Data, traditional SQL and basic functional programming approaches using Java, Python, Scala or other equivalent languages. Experience with Hadoop development, Hive, Pig and NoSQL data stores is useful but not essential.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,1-Day Course Spark Streaming,https://www.learningtree.co.uk/courses/5042/spark-streaming/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,1 day,Certificate of Achievement for completing your course,FT,Video live streaming of course,"Install and configure Apache Spark Use Spark Streaming to capture live data from files, systems, services Integrate Streaming with the Spark SQL and Machine Learning APIs Design Spark solutions to replace Map Reduce batch jobs",Data not available,Spark SQL/Machine Learning APIs,Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,"Intermediate. This course is intended for developers interested in real time processing of extremely large quantities of ""live data"" from a wide variety of sources including server log files, Apache Flume and social media. The course also appeals to developers with experience in Hadoop Map Reduce that are looking for a solution that provides a richer set of functional operations and has significantly increased performance.",Data not available,Data not available,"Participants are expected to be familiar with the concepts of Big Data and basic functional programming approaches using Java, Python, Scala or other equivalent languages. Experience with Hadoop or Storm development is useful but not essential.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,1-Day Course Spark Machine Learning,https://www.learningtree.co.uk/courses/5043/spark-machine-learning/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,1 day,Certificate of Achievement for completing your course,FT,Video live streaming of course,Analysing big data with Spark's Machine Learning library (MLlib) Create machine learning models to classify observations Determine the quality of machine learning models Perform clustering analyses to uncover hidden patterns,Data not available,Spark,Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,"Beginner. This course is beneficial for data analysts and scientists who are interested in applying machine learning algorithms to big data. A basic background in mathematics and/or statistics would be advantageous, as would some familiarity with programming.",Data not available,Data not available,"Familiarity with basic mathematics and statistics, as well as basic programming experience, would be advantageous.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,1-Day Course Introduction to R for Data Analytics,https://www.learningtree.co.uk/courses/5045/introduction-to-r-for-data-analytics/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,1 day,Certificate of Achievement for completing your course,FT,Video live streaming of course,"Import a variety of data formats into R Clean & pre-process data in preparation for analysis Pre-process unstructured data for text-mining Apply regression, clustering and classification in R",Data not available,"NoSQL, MongoDB, R",Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,Beginners. This course is beneficial for anyone interested in learning the fundamentals of R or those beginning to explore the landscape of data mining and data science.,Data not available,Data not available,"A background in programming is helpful, but not required. Familiarity with basic statistics is also useful.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Microsoft Tools for Business Intelligence,https://www.learningtree.co.uk/courses/146/microsoft-tools-for-business-intelligence/,Learning Tree International,"Multiple: Europe, Worldwide",Online,English,4 days,This Learning Tree course provides industry continuing education credits in preparation for for popular industry certifications.,FT,Video live streaming of course,"Building Blocks of a SharePoint Business Intelligence Solution: Analysing components of the Microsoft BI platform Delivering BI through SharePoint: Identifying the components of SharePoint, Preparing to display BI data in SharePoint, Assembling dashboards, Building additional dashboard components Collecting BI Data with Integration Services: Integrating data from multiple sources, Working with Integration Services in a data warehouse Leveraging SQL Server Analysis Services: Defining and building a cube, Making BI pervasive with Self-Service Tools, Shortening the Analysis Services life cycle with Tabular Model Presenting Data with Reporting Services: Authoring reports, Taking advantage of interactivity Performing Analysis with Excel: Exploiting data mining with the table analysis tool, Pivoting table data, Publishing reports and models",Data not available,"SQL Server database, Integration Services, Reporting Services, Analysis Services, SharePoint Server, Data Mining, Power View, PowerPivot for Excel, PowerPivot for SharePoint and PerformancePoint Services for SharePoint.",Data not available,"GBP 2,095.00","GBP 2,095.00",Data not available,Intermediate. Any data analyst who is involved or interested in implementing business intelligence solutions using Microsoft SharePoint Services and SQL Server.,Data not available,Data not available,Basic database knowledge with any relational database and a background in IT are assumed.,Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,SQL Server Integration Services for Business Intelligence,https://www.learningtree.co.uk/courses/134/sql-server-integration-services-for-business-intelligence/,Learning Tree International,"Multiple: Europe, Worldwide",London,English,4 days,This Learning Tree course provides industry continuing education credits in preparation for for popular industry certifications.,FT,Instructor Led or Video live streaming of course,"Introduction to Integration Services SSIS Architecture and Tools: Managing heterogeneous data, Illustrating SSIS architecture, Simplifying deployments Implementing Tasks and Containers: Utilising basic SSIS objects, Operating system level tasks, Processing XML Extending Capabilities with Scripting: Writing expressions, Script Task Transforming with the Data Flow Task: Performing transforms on columns, Profiling, combining and splitting data, Manipulating row sets and BLOB data, Performing database operations Error Handling, Logging and Transactions: Organising package workflow, Designing robust packages",Data not available,Data not available,Data not available,"GBP 2,095.00","GBP 2,095.00",Data not available,"Intermediate. SQL Server developers, administrators and analysts who need to migrate and transform data amongst diverse platforms.",Data not available,Data not available,"You should have a basic knowledge of relational database management systems and the SQL language. Specific experience with Microsoft SQL Server is helpful, but not required for this course. You should also have some knowledge of basic programming concepts but specific knowledge of a particular language is not required. Familiarity with the Windows interface and basic Windows security is recommended.",Approximately 4 times per year.,Check with provider for latest available local courses,Data not available,No evidence of industry partners
Short Course,Professional Development,SQL Server Analysis Services for Business Intelligence,https://www.learningtree.co.uk/courses/139/sql-server-analysis-services-for-business-intelligence/,Learning Tree International,"Multiple: Europe, Worldwide",London,English,4 days,This Learning Tree course provides industry continuing education credits in preparation for for popular industry certifications.,FT,Instructor Led or Video live streaming of course,"Building and Modifying an OLAP Cube: Designing a Unified Dimension Model (UDM), Creating dimensions Extending the Cube with Hierarchies: Creating hierarchies, Parent-child relationships Exploiting Advanced Dimension Relationships: Storing dimension data in fact tables, Saving space with referenced dimension relationships, Including dimensions with many-to-many relationships, Implementing a Tabular Model Database Managing Cubes: Designing storage and aggregations, Automating processing and deployment Performing Advanced Analysis with MDX: Retrieving data with MDX, Monitoring business performance with KPIs, Enhancing cubes with MDX Gaining Business Advantage with Data Mining: Determining the correct model, Performing real-world predictions",Data not available,"SQL, XMLA script, OLAP cubes",Data not available,"GBP 2,095.00","GBP 2,095.00",Data not available,"Intermediate. Those with a working knowledge of relational databases who want to design, create or develop analysis cubes from a database.",Data not available,Data not available,"You should have a basic knowledge of relational database management systems and the SQL language. Specific experience with Microsoft SQL Server is helpful, but not required for this course. You should also have some knowledge of basic programming concepts but specific knowledge of a particular language is not required.",Approximately 4 times per year.,Check with provider for latest available local courses,Data not available,No evidence of industry partners
Short Course,Professional Development,Power Excel: Analysis Data to make Business Decisions,https://www.learningtree.co.uk/courses/195/power-excel-analysing-data-to-make-business-decisions/,Learning Tree International,"Multiple: Europe, Worldwide",London,English,2 days,This Learning Tree course provides industry continuing education credits in preparation for for popular industry certifications.,FT,Instructor Led or Video live streaming of course,"Troubleshooting and Enhancing Professional Workbooks Analysing Data with Functions: Summarising business data with functions, Controlling calculations and nested formulas Optimising Workbook Models with ""What-If"" Analysis: Planning for contingencies Summarising Business Information: Organising workbooks and links, Consolidating ranges Formulating Decisions from Database Information: Distilling data sets for data analysis, Interpreting and refining data with PivotTables, Visualising and exploring PivotTable reports Enhancing Excel Usage with Macros: Automating repetitive tasks",Data not available,"SQL, XMLA script, OLAP cubes",Data not available,"GBP 1,345.00","GBP 1,345.00",Data not available,"Beginners. Business and technical professionals making decisions based on data analysis, or anyone who wants to increase their knowledge of intermediate to advanced features in Excel.",Data not available,Data not available,Experience with Excel fundamentals,Approximately 3 times per year.,Check with provider for latest available local courses,Data not available,No evidence of industry partners
Short Course,Professional Development,Power Pivot for Excel: Mining Data for Business Intelligence,https://www.learningtree.co.uk/courses/1362/power-pivot-for-excel-mining-data-for-business-intelligence/,Learning Tree International,"Multiple: Europe, Worldwide",London,English,4 days,This Learning Tree course provides industry continuing education credits in preparation for for popular industry certifications.,FT,Instructor Led or Video live streaming of course,"Identifying the Role of Power Pivot in Business Intelligence (BI): Introducing Power Pivot, Employing Power Pivot in the BI process Building the Data Model with Power Pivot: Defining a consolidated view of data, Denormalising data to simplify usage within other BI reporting tools Querying SQL Server data, Fixing common data issues with Power Query Manipulating and Analysing Data with the Data Analysis eXpressions (DAX) Language: Defining measures for business performance, Implementing DAX functions in Power Pivot, Exploiting data analytics with aggregation, Mining for information with date and time analysis, Setting key business targets with KPIs Presenting Information with Dashboards: Articulating and analysing data, Designing effective dashboards Creating Team BI Solutions",Data not available,"Excel: Power View, Power Query and Power Map",Data not available,"GBP 1,345.00","GBP 1,345.00",Data not available,"Intermediate. Data analysts, business analysts, financial analysts, managers, business intelligence professionals and anyone who wants to better understand data derived from multiple sources and/or large volumes of data using Power Pivot for Excel.",Data not available,Data not available,Experience with Excel is necessary,Approximately twice per year.,Check with provider for latest available local courses,Data not available,No evidence of industry partners
Short Course,Professional Development,Designing an Effective Data Warehouse,https://www.learningtree.co.uk/courses/2191/designing-an-effective-data-warehouse/#!tab1,Learning Tree International,"Multiple: Europe, Worldwide",London,English,4 days,This Learning Tree course provides industry continuing education credits in preparation for for popular industry certifications.,FT,Instructor Led or Video live streaming of course,"Introduction to Data Warehousing Establishing Dimensional Modelling: Modelling the business process, Building fact tables, Creating dimensions Building the Data Warehouse: Architecting the physical database, Ensuring data quality, Extracting data from multiple sources, Transforming data during migration, Loading data into a data warehouse Leveraging BI for Data Analysis: Identifying levels in the BI stack, Exploring Business Intelligence tools Deploying a Complete Data Warehouse Solution: Taking advantage of industry-standard data-mining techniques, Planning for the future",Data not available,"SQL Server 2012, Oracle 11g, Oracle Data Modeler, SQL Server Analysis Services, SQL Server Integration Services, SQL Server Reporting Services, Report Builder, SharePoint 2013 and Excel 2013",Data not available,"GBP 2,095.00","GBP 2,095.00",Data not available,"Intermediate. Anyone interested in implementing a data warehouse solution in their organisation, and those who need to re-engineer an existing data warehouse who have prior experience is helpful but not required with a data warehousing implementation and/or databases.",Data not available,Data not available,A technical background is needed in order to fully benefit from this course.,Approximately 3 times per year.,Check with provider for latest available local courses,Data not available,No evidence of industry partners
Short Course,Professional Development,Data Migration with SQL Server Integration Services,https://www.learningtree.co.uk/courses/4555/data-migration-with-sql-server-integration-services/#!tab1,Learning Tree International,"Multiple: Europe, Worldwide",London,English,1 day,Certificate of Achievement for completing your course,FT,Instructor Led or Video live streaming of course,Perform data migrations to integrate enterprise data Transform data with SQL Server Data Tools Migrate single and multi-file data Streamline data migrations with scheduled jobs,Data not available,SQL Server,Data not available,GBP 495 for new attendees,GBP 495 for new attendees,Returning attendees are entitled to discount on course fee,"Intermediate. Typical participants include database developers and analysts who need to migrate data among diverse platforms. Database administrators who need to manage Integration Services packages stored on SQL Server and database professionals working in mixed environments of DBMSs such as Oracle, Access and SQL Server benefit from this course.",Data not available,Data not available,"You should have a basic knowledge of relational database management systems and the SQL language. Specific experience with Microsoft SQL Server is helpful, but not required for this course. Familiarity with the Windows interface and basic Windows security is recommended.",Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Data Science Training,http://www.graspskills.com/information-technology/data-science-training-classroom/united-kingdom,Graspskills,"Multiple: Europe, Worldwide",Multiple locations,"English, native language",Data not available,Participation Certificate,FT,"Instructor Led, Video Live Stream or Self-paced online","Introduction to the Data Science Toolkit Design Process and Web Scraping Regression, Communicating Results Databases and Introduction to Machine Learning Concepts Machine Learning, Supervised Learning Techniques Naive Bayes Algorithm JavaScript and D3.js APIs, Data Collection Methods, NoSQL Storage, Web Apps with Flask Natural Language Processing (NLP) Project",Data not available,"R, Hadoop, Apache Mahout, IMPALA",Also available as in-house corporate training,Data not available,Data not available,Data not available,"Intermediate. The course is intended for: Developers, Data analysts, Statisticians with basic knowledge of Apache Hadoop: HDFS, MapReduce, Hadoop Streaming, and Apache Hive, SAS/SPSS Professionals looking to gain understanding in Big Data Analytics, Business Analysts wanting to understand Machine Learning (ML) Techniques, Information Architects wanting to gain expertise in Predictive Analytics, Hadoop Professionals who want to learn R and ML techniques.",Data not available,Data not available,"Students should have proficiency in a scripting language; Python is strongly preferred, but familiarity with Perl or Ruby is sufficient.",Data not available,Provider schedules courses based on demand at specific locations.,Data not available,No evidence of industry partners
Short Course,Professional Development,Big Data And Hadoop Development Certification Training,http://www.graspskills.com/information-technology/big-data-and-hadoop-development-training-classroom/united-states,Graspskills,"Multiple: Europe, Worldwide",Multiple locations,"English, native language",8 days,Participation Certificate,FT,"Instructor Led, Video Live Stream or Self-paced online","Master the concepts of HDFS and MapReduce framework Understand Hadoop 2.x Architecture Setup Hadoop Cluster and write Complex MapReduce programs Learn the data loading techniques using Sqoop and Flume Perform Data Analytics using Pig, Hive and YARN Implement HBase and MapReduce Integration Implement Advanced Usage and Indexing Schedule jobs using Oozie Implement best Practices for Hadoop Development Work on a Real Life Project on Big Data Analytics",Data not available,"HDFS, MapReduce, Hadoop, Pig, Hive, YARN, Sqoop, Flume, Oozie, HBase",Also available as in-house corporate training,GBP 990.00,GBP 990.00,Data not available,"Software Engineers, who are into ETL/Programming and exploring for great job opportunities in hadoop. Managers, who are looking for the latest technologies to be implemented in their organization, to meet the current & upcoming challenges of data management. Any Graduate/Post-Graduate, who is aspiring a great career towards the cutting edge technologies in IT",Data not available,Data not available,Hands-on experience in Core Java and good analytical skills are necessary to grasp and apply the concepts in Hadoop.,Data not available,Data not available,Data not available,No evidence of industry partners
Short Course,Professional Development,Mining Big Data in Finance,https://www.londonfs.com/programmes/Mining-Big-Data-in-Finance/Overview/,London Financial Studies Limited,"Multiple: Europe, Worldwide","London, Frankfurt",English,2 days,No formal qualification gained.,FT,Instructor Led,"Overview of data mining, Laying out the different components of data mining, Data visualization, Regression, PCA, Data classification ï¿½ regression, Kernel density estimation and classification, Classification - part I, Classification - part II, Data classification (cont.), Classification - part III, Workshop: Data mining tools",Data not available,Python,The course uses real life case studies and workshop scenarios throughout.,GBP 2690,GBP 2690,Companies may be eligible for a member discount.,"Intermediate. Portfolio managers, Risk managers, Professionals looking to introduce data-mining concepts in their day-to-day tasks, IT developers, Statisticians, Quant analysts, Financial Engineers",Data not available,Data not available,Expected that participants have: Basic notions of statistics Good working knowledge of Excel No prior knowledge of Python is required,Multiple entry points available throughout the year.,Contact provider for next available date.,Data not available,No evidence of industry partners
